TRX_ID,MEMBER_NO,TRANSACTION_DATE,AUTHORIZATION_DATE,MERCHANT_NO,MERCHANT_NAME,CITY_NAME,NATIONAL_CODE,MCC,POS_MODE,PRODUCT_NAME,SETTLEMENT_AMOUNT,SALES_AMOUNT,TRX_TYPE
T00000025,C001083,2024-01-01 00:04:34,2024-01-01 00:05:48,M84349,ATM Withdrawal,SHARM EL SHEIKH,EG,6011,0002 - Mail/Phone order,1308282001: Other Transaction(International),22621.3,22856.66,ATM
T00000026,C001532,2024-01-01 00:04:44,2024-01-01 00:05:08,M47082,Jewelry 65,SEOUL,KR,5944,0730 - Contactless - VSDC chip,1308212001: Refund Transaction(Domestic),35163.92,35863.17,POS
T00000027,C001617,2024-01-01 00:04:49,2024-01-01 00:05:43,M56619,Subscription 32,TALDYKORGAN,KZ,5968,0001 - E-commerce,1308262001: Bill Payment Transaction(International),24492.87,24678.32,ATM
T00000028,C000681,2024-01-01 00:05:00,2024-01-01 00:06:48,M55416,Wallet Transfer 775,TALDYKORGAN,KZ,6537,0000 - Unknown,1308212001: Refund Transaction(Domestic),123636.7,120312.06,POS
T00000029,C001216,2024-01-01 00:05:01,2024-01-01 00:05:40,M65984,Money Transfer 216,ZURICH,CH,4829,ECOMMERCE,1308162001: Prepaid Purchase Transaction(International),246938.5,248718.01,ATM
T00000030,C001650,2024-01-01 00:05:12,2024-01-01 00:05:19,M70388,Subscription 488,ZURICH,CH,5968,0001 - E-commerce,1308192001: Balance Inquiry Transaction(Domestic),84444.19,83867.82,ATM
T00000031,C000921,2024-01-01 00:05:15,2024-01-01 00:05:24,M78430,Supermarket 288,ATYRAU,KZ,5411,0800 - Contactless - Magstripe,1308112001: Debit Purchase Transaction(Domestic),5387.94,5482.9,POS
T00000032,C000448,2024-01-01 00:05:20,2024-01-01 00:06:30,M39547,Money Transfer 236,ALMATY,KZ,4829,0710 - Contactless - VSDC chip,1308282001: Other Transaction(International),328054.81,332696.41,POS
T00000033,C001898,2024-01-01 00:05:32,2024-01-01 00:05:56,M18554,Dating Service 65,KOSTANAY,KZ,7273,0007 - Other,1308162001: Prepaid Purchase Transaction(International),37757.14,37590.64,POS
T00000034,C000120,2024-01-01 00:05:36,2024-01-01 00:06:18,M12665,Hotel 603,SHYMKENT,KZ,7011,0710 - Contactless - VSDC chip,1308222001: Refund Transaction(International),29900.87,29943.75,POS
T00000035,C000909,2024-01-01 00:05:52,2024-01-01 00:07:18,M23464,Pharmacy 264,OSAKA,JP,5912,0800 - Contactless - Magstripe,1308182001: Cash Withdrawal Transaction(International),896.42,897.62,ATM
T00000036,C001381,2024-01-01 00:05:54,2024-01-01 00:05:57,M17358,ATM Withdrawal,TARAZ,KZ,6011,1000 - Credential on file,1308242001: Transfer Transaction(International),97.06,97.2,WWW
T00000037,C000201,2024-01-01 00:06:10,2024-01-01 00:07:00,M60163,Online store 36,SHYMKENT,KZ,5999,0007 - Other,1308182001: Cash Withdrawal Transaction(International),97.35,98.1,POS
T00000038,C000027,2024-01-01 00:06:25,2024-01-01 00:07:58,M90051,Wallet Transfer 273,TARAZ,KZ,6536,0110 - Swipe,1308262001: Bill Payment Transaction(International),179757.84,180123.28,POS
T00000039,C000005,2024-01-01 00:06:32,2024-01-01 00:08:28,M29072,Prepaid Load 836,AKTAU,KZ,6540,0004 - Installment,1308162001: Prepaid Purchase Transaction(International),42079.22,43154.53,POS
T00000040,C001523,2024-01-01 00:06:52,2024-01-01 00:07:01,M71755,Adult Content 812,BRASILIA,BR,5967,0000 - Unknown,1308192001: Balance Inquiry Transaction(Domestic),28659.35,28631.98,POS
T00000041,C000156,2024-01-01 00:06:54,2024-01-01 00:07:02,M19584,Cafe and restaraunts 753,YEKATERINBURG,RU,5812,0003 - Recurring,1308162001: Prepaid Purchase Transaction(International),1973.7,2002.48,POS
T00000042,C000723,2024-01-01 00:06:58,2024-01-01 00:08:35,M94315,Wallet Transfer 662,AKTAU,KZ,6537,0008 - Not used,1308182001: Cash Withdrawal Transaction(International),75176.27,73832.48,WWW
T00000043,C000750,2024-01-01 00:07:01,2024-01-01 00:07:07,M57244,Gambling 25,KUALA LUMPUR,MY,7995,0001 - E-commerce,1308262001: Bill Payment Transaction(International),46708.06,47079.57,POS
T00000044,C000823,2024-01-01 00:07:12,2024-01-01 00:07:49,M18104,Money Transfer 157,DUBAI,AE,4829,0720 - Contactless - VSDC magstripe,1308162001: Prepaid Purchase Transaction(International),260987.4,261665.26,POS
T00000045,C000334,2024-01-01 00:07:54,2024-01-01 00:09:41,M96707,Racing 239,TALDYKORGAN,KZ,7802,0000 - Unknown,1308232001: Transfer Transaction(Domestic),150735.82,149089.12,POS
T00000046,C000725,2024-01-01 00:08:20,2024-01-01 00:09:42,M96443,Currency Exchange 577,KARAGANDA,KZ,6051,0007 - Other,1308172001: Cash Withdrawal Transaction(Domestic),276491.82,274033.45,POS
T00000047,C000101,2024-01-01 00:08:24,2024-01-01 00:09:12,M11260,ATM Withdrawal,TALDYKORGAN,KZ,6011,1000 - Credential on file,1308272001: Other Transaction(Domestic),17690.62,17446.8,POS
T00000048,C000532,2024-01-01 00:08:26,2024-01-01 00:08:47,M94745,Wallet Transfer 536,MUNICH,DE,6537,0120 - Keyin,1308272001: Other Transaction(Domestic),214268.01,217131.64,POS
T00000049,C001946,2024-01-01 00:08:47,2024-01-01 00:08:52,M28448,P2P Transfer 297,KOSTANAY,KZ,6012,0710 - Contactless - VSDC chip,1308192001: Balance Inquiry Transaction(Domestic),128235.11,129059.43,POS
T00000050,C001772,2024-01-01 00:09:01,2024-01-01 00:09:29,M37757,Hotel 483,SEMEY,KZ,7011,0007 - Other,1308202001: Balance Inquiry Transaction(International),37636.03,37719.09,ATM
T00000051,C001951,2024-01-01 00:09:06,2024-01-01 00:09:22,M10793,Adult Content 929,MONTREAL,CA,5967,0110 - Swipe,1308272001: Other Transaction(Domestic),12428.23,12642.06,POS
T00000052,C000748,2024-01-01 00:09:20,2024-01-01 00:09:40,M22955,Lottery 925,KARAGANDA,KZ,7800,0710 - Contactless - VSDC chip,1308122001: Debit Purchase Transaction(International),68209.12,68505.45,POS
T00000053,C000063,2024-01-01 00:09:23,2024-01-01 00:10:43,M40894,Wallet Transfer 414,ASTANA,KZ,6537,0001 - E-commerce,1308222001: Refund Transaction(International),100452.63,100246.62,POS
T00000054,C000329,2024-01-01 00:09:24,2024-01-01 00:09:51,M68447,Racing 476,SHYMKENT,KZ,7802,0110 - Swipe,1308282001: Other Transaction(International),72074.93,71142.8,POS
T00000055,C000526,2024-01-01 00:09:25,2024-01-01 00:09:28,M55268,Racing 700,BRASILIA,BR,7802,0006 - Cash,1308112001: Debit Purchase Transaction(Domestic),94233.73,93357.3,ATM
T00000056,C000338,2024-01-01 00:09:30,2024-01-01 00:10:48,M54575,Cafe and restaraunts 400,AMSTERDAM,NL,5812,1000 - Credential on file,1308212001: Refund Transaction(Domestic),3839.86,3787.62,POS
T00000057,C000761,2024-01-01 00:09:56,2024-01-01 00:10:05,M16573,Gambling 551,PAVLODAR,KZ,7995,0007 - Other,1308172001: Cash Withdrawal Transaction(Domestic),178890.3,178995.13,POS
T00000058,C000578,2024-01-01 00:10:16,2024-01-01 00:10:56,M41949,Elecrtronics 436,TOKYO,JP,5065,0110 - Swipe,1308152001: Prepaid Purchase Transaction(Domestic),30474.55,30713.06,POS
T00000059,C001200,2024-01-01 00:10:40,2024-01-01 00:11:46,M30797,Racing 284,KARAGANDA,KZ,7802,1000 - Credential on file,1308112001: Debit Purchase Transaction(Domestic),19489.85,19495.75,ATM
T00000060,C001740,2024-01-01 00:10:44,2024-01-01 00:11:36,M26239,Money Transfer 807,PAVLODAR,KZ,4829,0000 - Unknown,1308182001: Cash Withdrawal Transaction(International),332207.43,332204.77,POS
T00000061,C000700,2024-01-01 00:10:48,2024-01-01 00:12:31,M68047,Pharmacy 508,ATYRAU,KZ,5912,0003 - Recurring,1308242001: Transfer Transaction(International),2174.95,2179.85,POS
T00000062,C001109,2024-01-01 00:11:05,2024-01-01 00:11:18,M30882,Money Transfer 1,ALMATY,KZ,4829,0003 - Recurring,1308152001: Prepaid Purchase Transaction(Domestic),224321.25,225194.93,ATM
T00000063,C001775,2024-01-01 00:11:10,2024-01-01 00:11:41,M99529,Online store 261,AKTAU,KZ,5999,0730 - Contactless - VSDC chip,1308152001: Prepaid Purchase Transaction(Domestic),7112.58,7010.7,POS
T00000064,C000956,2024-01-01 00:11:17,2024-01-01 00:12:05,M25876,Prepaid Load 275,SHYMKENT,KZ,6540,0005 - Preauthorized,1308122001: Debit Purchase Transaction(International),176118.87,177839.78,POS
T00000065,C000415,2024-01-01 00:11:34,2024-01-01 00:12:09,M25375,Cafe and restaraunts 904,LYON,FR,5812,0720 - Contactless - VSDC magstripe,1308182001: Cash Withdrawal Transaction(International),3765.61,3720.23,ATM
T00000066,C000803,2024-01-01 00:11:51,2024-01-01 00:13:38,M27399,Jewelry 263,KOSTANAY,KZ,5944,0004 - Installment,1308112001: Debit Purchase Transaction(Domestic),70612.22,70178.43,POS
T00000067,C000447,2024-01-01 00:11:55,2024-01-01 00:13:21,M36229,Prepaid Load 695,WARSAW,PL,6540,0000 - Unknown,1308172001: Cash Withdrawal Transaction(Domestic),115182.41,116376.34,ATM
T00000068,C001112,2024-01-01 00:12:55,2024-01-01 00:14:06,M45686,Casino 232,KARAGANDA,KZ,7801,0004 - Installment,1308162001: Prepaid Purchase Transaction(International),83515.47,82724.89,WWW
T00000069,C000893,2024-01-01 00:13:20,2024-01-01 00:14:53,M95290,Adult Content 243,TALDYKORGAN,KZ,5967,0005 - Preauthorized,1308282001: Other Transaction(International),68672.4,70700.12,POS
T00000070,C001303,2024-01-01 00:13:25,2024-01-01 00:13:44,M99657,Racing 175,SYDNEY,AU,7802,1000 - Credential on file,1308162001: Prepaid Purchase Transaction(International),38663.4,39078.32,POS
T00000071,C001080,2024-01-01 00:14:17,2024-01-01 00:15:37,M22080,Cafe and restaraunts 246,KRAKOW,PL,5812,0120 - Keyin,1308272001: Other Transaction(Domestic),1949.48,1947.41,POS
T00000072,C000745,2024-01-01 00:14:20,2024-01-01 00:15:08,M73920,Online store 673,SEMEY,KZ,5999,0800 - Contactless - Magstripe,1308122001: Debit Purchase Transaction(International),5582.3,5599.06,POS
T00000073,C001407,2024-01-01 00:14:24,2024-01-01 00:16:03,M54834,Currency Exchange 830,MANCHESTER,GB,6051,0120 - Keyin,1308242001: Transfer Transaction(International),271016.09,272099.31,POS
T00000074,C001932,2024-01-01 00:14:40,2024-01-01 00:16:37,M96841,Wallet Transfer 428,STOCKHOLM,SE,6536,0002 - Mail/Phone order,1308152001: Prepaid Purchase Transaction(Domestic),169381.24,167479.17,POS
T00000075,C001040,2024-01-01 00:15:19,2024-01-01 00:16:15,M27613,Pharmacy 828,TARAZ,KZ,5912,0730 - Contactless - VSDC chip,1308282001: Other Transaction(International),2686.3,2678.47,POS
T00000076,C000356,2024-01-01 00:15:19,2024-01-01 00:15:55,M51461,Hotel 226,SAN FRANCISCO,US,7011,0002 - Mail/Phone order,1308242001: Transfer Transaction(International),55435.11,54951.84,POS
T00000077,C000628,2024-01-01 00:15:28,2024-01-01 00:16:45,M47916,Lottery 10,ATYRAU,KZ,7800,1000 - Credential on file,1308232001: Transfer Transaction(Domestic),16266.73,16146.48,POS
T00000078,C001460,2024-01-01 00:15:29,2024-01-01 00:16:30,M48320,Gambling 414,ATYRAU,KZ,7995,0000 - Unknown,1308252001: Bill Payment Transaction(Domestic),117291.87,118599.66,POS
T00000079,C000329,2024-01-01 00:15:30,2024-01-01 00:17:08,M64430,Wallet Transfer 779,EDINBURGH,GB,6537,0001 - E-commerce,1308282001: Other Transaction(International),260207.52,257780.55,POS
T00000080,C001007,2024-01-01 00:15:34,2024-01-01 00:16:13,M34310,Racing 305,AMSTERDAM,NL,7802,0007 - Other,1308132001: Credit Purchase Transaction(Domestic),151967.45,153827.16,POS
T00000081,C000865,2024-01-01 00:15:47,2024-01-01 00:16:50,M99988,Online store 870,KOSTANAY,KZ,5999,0008 - Not used,1308182001: Cash Withdrawal Transaction(International),8196.27,8367.18,POS
T00000082,C000672,2024-01-01 00:15:51,2024-01-01 00:16:04,M56183,Pharmacy 282,TARAZ,KZ,5912,0000 - Unknown,1308162001: Prepaid Purchase Transaction(International),1991.11,2003.17,POS
T00000083,C000667,2024-01-01 00:15:53,2024-01-01 00:17:33,M21040,Prepaid Load 594,SEMEY,KZ,6540,0710 - Contactless - VSDC chip,1308202001: Balance Inquiry Transaction(International),117865.73,118265.74,POS
T00000084,C001014,2024-01-01 00:16:06,2024-01-01 00:17:28,M52173,Unknown Merchant,ALMATY,KZ,6538,MAGNETIC,1308202001: Balance Inquiry Transaction(International),250959.72,98.52,ATM
T00000085,C001211,2024-01-01 00:16:09,2024-01-01 00:16:31,M98672,Gambling 413,PAVLODAR,KZ,7995,0000 - Unknown,1308242001: Transfer Transaction(International),181807.62,180019.91,POS
T00000086,C000394,2024-01-01 00:16:19,2024-01-01 00:18:08,M38969,Wallet Transfer 887,PAVLODAR,KZ,6537,0001 - E-commerce,1308212001: Refund Transaction(Domestic),63188.53,61887.61,WWW
T00000087,C001125,2024-01-01 00:16:25,2024-01-01 00:17:45,M55330,Dating Service 767,GENEVA,CH,7273,0000 - Unknown,1308152001: Prepaid Purchase Transaction(Domestic),28989.39,29259.58,ATM
T00000088,C000992,2024-01-01 00:16:32,2024-01-01 00:18:06,M13459,Jewelry 735,KOSTANAY,KZ,5944,0007 - Other,1308262001: Bill Payment Transaction(International),64284.17,65672.01,POS
T00000089,C000251,2024-01-01 00:16:33,2024-01-01 00:16:54,M93454,Dating Service 419,PAVLODAR,KZ,7273,0008 - Not used,1308162001: Prepaid Purchase Transaction(International),29763.94,30015.56,ATM
T00000090,C001841,2024-01-01 00:16:36,2024-01-01 00:16:55,M82123,Subscription 519,CHICAGO,US,5968,0710 - Contactless - VSDC chip,1308172001: Cash Withdrawal Transaction(Domestic),42519.74,42769.61,POS
T00000091,C001671,2024-01-01 00:16:36,2024-01-01 00:18:24,M32518,Lottery 884,MELBOURNE,AU,7800,0800 - Contactless - Magstripe,1308172001: Cash Withdrawal Transaction(Domestic),36395.32,36933.37,POS
T00000092,C000999,2024-01-01 00:16:51,2024-01-01 00:17:52,M89526,Wallet Transfer 50,AKTAU,KZ,6536,0800 - Contactless - Magstripe,1308132001: Credit Purchase Transaction(Domestic),172486.46,168501.91,POS
T00000093,C000784,2024-01-01 00:16:56,2024-01-01 00:18:14,M49935,Gambling 942,SEMEY,KZ,7995,0005 - Preauthorized,1308162001: Prepaid Purchase Transaction(International),71938.44,70226.96,WWW
T00000094,C000411,2024-01-01 00:17:00,2024-01-01 00:17:32,M31279,Transport 866,ALMATY,KZ,4111,0510 - Contactless - Magstripe,1308132001: Credit Purchase Transaction(Domestic),1536.66,1522.43,POS
T00000095,C000282,2024-01-01 00:17:02,2024-01-01 00:18:48,M47520,Supermarket 179,AKTAU,KZ,5411,0001 - E-commerce,1308122001: Debit Purchase Transaction(International),5674.86,5700.87,POS
T00000096,C000963,2024-01-01 00:17:08,2024-01-01 00:18:52,M52326,Cafe and restaraunts 651,ASTANA,KZ,5812,0004 - Installment,1308232001: Transfer Transaction(Domestic),5268.29,5371.68,POS
T00000097,C001684,2024-01-01 00:17:30,2024-01-01 00:17:31,M94286,Pharmacy 715,ATYRAU,KZ,5912,0003 - Recurring,1308282001: Other Transaction(International),3625.42,3611.03,WWW
T00000098,C000999,2024-01-01 00:17:31,2024-01-01 00:18:05,M71967,Currency Exchange 243,KARAGANDA,KZ,6051,0002 - Mail/Phone order,1308132001: Credit Purchase Transaction(Domestic),227099.25,225290.4,POS
T00000099,C000325,2024-01-01 00:17:46,2024-01-01 00:18:03,M45487,Lottery 502,SEMEY,KZ,7800,0000 - Unknown,1308152001: Prepaid Purchase Transaction(Domestic),46090.88,46315.91,POS
T00000100,C001634,2024-01-01 00:18:06,2024-01-01 00:18:20,M54635,Cafe and restaraunts 974,ALMATY,KZ,5812,0110 - Swipe,1308112001: Debit Purchase Transaction(Domestic),1751.22,1751.79,POS
T00000101,C000253,2024-01-01 00:18:17,2024-01-01 00:18:39,M39373,Hotel 197,AKTAU,KZ,7011,1000 - Credential on file,1308222001: Refund Transaction(International),20914.48,21381.94,POS
T00000102,C000150,2024-01-01 00:18:19,2024-01-01 00:18:36,M30210,Wallet Transfer 729,TBILISI,GE,6538,0710 - Contactless - VSDC chip,1308152001: Prepaid Purchase Transaction(Domestic),211650.11,213433.66,POS
T00000103,C001393,2024-01-01 00:19:14,2024-01-01 00:20:12,M29736,Jewelry 138,PAVLODAR,KZ,5944,0800 - Contactless - Magstripe,1308192001: Balance Inquiry Transaction(Domestic),97.74,99.45,POS
T00000104,C000977,2024-01-01 00:19:14,2024-01-01 00:20:00,M54161,Lottery 905,TALDYKORGAN,KZ,7800,0005 - Preauthorized,1308112001: Debit Purchase Transaction(Domestic),8676.64,8644.25,POS
T00000105,C000946,2024-01-01 00:19:33,2024-01-01 00:20:27,M69148,Online Shop 772,KOSTANAY,KZ,5966,0003 - Recurring,1308142001: Credit Purchase Transaction(International),69510.05,70134.63,WWW
T00000106,C001977,2024-01-01 00:19:59,2024-01-01 00:21:20,M39376,Currency Exchange 326,SHYMKENT,KZ,6051,0730 - Contactless - VSDC chip,1308142001: Credit Purchase Transaction(International),75535.37,75541.95,ATM
T00000107,C001138,2024-01-01 00:20:13,2024-01-01 00:20:46,M80893,Subscription 766,SHYMKENT,KZ,5968,0001 - E-commerce,1308272001: Other Transaction(Domestic),35422.59,36239.13,POS
T00000108,C000513,2024-01-01 00:20:13,2024-01-01 00:21:50,M84554,Money Transfer 992,KOSTANAY,KZ,4829,0120 - Keyin,1308192001: Balance Inquiry Transaction(Domestic),100696.71,100593.68,POS
T00000109,C001118,2024-01-01 00:20:15,2024-01-01 00:21:34,M89568,Securities 112,BISHKEK,KG,6211,0000 - Unknown,1308142001: Credit Purchase Transaction(International),527866.97,529156.74,POS
T00000110,C000521,2024-01-01 00:20:36,2024-01-01 00:22:30,M30465,Money Transfer 186,ASTANA,KZ,4829,0510 - Contactless - Magstripe,1308172001: Cash Withdrawal Transaction(Domestic),312551.1,316635.57,POS
T00000111,C000078,2024-01-01 00:20:55,2024-01-01 00:22:27,M98599,P2P Transfer 594,OSH,KG,6012,0120 - Keyin,1308252001: Bill Payment Transaction(Domestic),189228.72,190706.88,POS
T00000112,C000035,2024-01-01 00:21:08,2024-01-01 00:23:04,M93557,Adult Content 407,MEXICO CITY,MX,5967,0005 - Preauthorized,1308132001: Credit Purchase Transaction(Domestic),79544.91,78960.92,POS
T00000113,C001617,2024-01-01 00:21:16,2024-01-01 00:22:29,M58664,Prepaid Load 279,AMSTERDAM,NL,6540,0008 - Not used,1308262001: Bill Payment Transaction(International),51713.81,51514.43,POS
T00000114,C001108,2024-01-01 00:21:30,2024-01-01 00:21:38,M32277,Gambling 621,TALDYKORGAN,KZ,7995,0002 - Mail/Phone order,1308282001: Other Transaction(International),196318.23,196247.62,POS
T00000115,C000954,2024-01-01 00:21:33,2024-01-01 00:22:24,M52308,Casino 438,ATYRAU,KZ,7801,0800 - Contactless - Magstripe,1308262001: Bill Payment Transaction(International),116149.12,117407.01,ATM
T00000116,C001764,2024-01-01 00:21:40,2024-01-01 00:22:15,M92875,Dating Service 970,KOSTANAY,KZ,7273,0710 - Contactless - VSDC chip,1308202001: Balance Inquiry Transaction(International),56370.17,57650.59,ATM
T00000117,C001728,2024-01-01 00:21:46,2024-01-01 00:23:13,M85233,Dating Service 958,KOSTANAY,KZ,7273,0001 - E-commerce,1308202001: Balance Inquiry Transaction(International),25675.21,25441.73,POS
T00000118,C001320,2024-01-01 00:21:49,2024-01-01 00:23:19,M67352,Casino 523,ROTTERDAM,NL,7801,0000 - Unknown,1308122001: Debit Purchase Transaction(International),93542.68,94063.79,POS
T00000119,C000005,2024-01-01 00:21:51,2024-01-01 00:23:29,M63986,Transport 531,AKTAU,KZ,4111,0002 - Mail/Phone order,1308162001: Prepaid Purchase Transaction(International),1386.24,1403.28,POS
T00000120,C001853,2024-01-01 00:22:10,2024-01-01 00:23:37,M13899,Online Shop 490,ISTANBUL,TR,5966,0006 - Cash,1308212001: Refund Transaction(Domestic),112324.26,111353.4,ATM
T00000121,C000575,2024-01-01 00:22:26,2024-01-01 00:24:14,M33947,Lottery 659,PAVLODAR,KZ,7800,0005 - Preauthorized,1308232001: Transfer Transaction(Domestic),109816.65,107648.58,ATM
T00000122,C000329,2024-01-01 00:23:03,2024-01-01 00:23:47,M65465,Casino 595,WARSAW,PL,7801,0800 - Contactless - Magstripe,1308282001: Other Transaction(International),164112.44,162579.53,WWW
T00000123,C001549,2024-01-01 00:23:17,2024-01-01 00:24:22,M17592,Dating Service 205,TALDYKORGAN,KZ,7273,0007 - Other,1308252001: Bill Payment Transaction(Domestic),36444.32,35804.63,POS
T00000124,C001561,2024-01-01 00:23:17,2024-01-01 00:24:40,M95593,Wallet Transfer 967,TARAZ,KZ,6537,0510 - Contactless - Magstripe,1308172001: Cash Withdrawal Transaction(Domestic),169130.48,169401.23,POS
T00000125,C001936,2024-01-01 00:23:46,2024-01-01 00:23:52,M91004,Hotel 266,TARAZ,KZ,7011,1000 - Credential on file,1308272001: Other Transaction(Domestic),34687.99,35701.51,POS
T00000126,C000262,2024-01-01 00:23:51,2024-01-01 00:25:18,M39582,Wallet Transfer 398,SHYMKENT,KZ,6537,0730 - Contactless - VSDC chip,1308112001: Debit Purchase Transaction(Domestic),93709.14,93635.89,ATM
T00000127,C001083,2024-01-01 00:23:51,2024-01-01 00:25:44,M98264,Cafe and restaraunts 120,KARAGANDA,KZ,5812,0120 - Keyin,1308282001: Other Transaction(International),4688.07,4668.95,POS
T00000128,C000795,2024-01-01 00:24:02,2024-01-01 00:25:48,M60713,Adult Content 433,SHYMKENT,KZ,5967,0004 - Installment,1308112001: Debit Purchase Transaction(Domestic),100267.52,99726.12,POS
