TRX_ID,MEMBER_NO,TRANSACTION_DATE,AUTHORIZATION_DATE,MERCHANT_NO,MERCHANT_NAME,CITY_NAME,NATIONAL_CODE,MCC,POS_MODE,PRODUCT_NAME,SETTLEMENT_AMOUNT,SALES_AMOUNT,TRX_TYPE,IS_FRAUD
T00002655,C000181,2023-02-09 01:26:27,2023-02-09 01:26:32,M92596,Jewelry 494,NEW YORK,US,5944,0004 - Installment,1308222001: Refund Transaction(International),225089.73,50786.83,PURCHASE,1
T00002674,C000296,2023-02-09 08:08:23,2023-02-09 08:10:13,M51412,Jewelry 284,LYON,FR,5944,ECOMMERCE,1308162001: Prepaid Purchase Transaction(International),60079.64,59092.61,PURCHASE,1
T00002759,C000252,2023-02-10 07:26:47,2023-02-10 07:27:46,M23979,Supermarket 755,SEMEY,KZ,4816,0005 - Preauthorized,1308162001: Prepaid Purchase Transaction(International),34.18,34.18,PURCHASE,1
T00002776,C000284,2023-02-10 11:38:05,2023-02-10 11:38:40,M86073,Supermarket 958,SEMEY,KZ,4816,0120 - Keyin,1308272001: Other Transaction(Domestic),52.63,52.63,PURCHASE,1
T00002854,C000191,2023-02-11 10:16:46,2023-02-11 10:17:49,M77475,Digital Service 676,KARAGANDA,KZ,4816,0720 - Contactless - VSDC magstripe,1308232001: Transfer Transaction(Domestic),68.17,68.17,PURCHASE,1
T00002875,C000145,2023-02-11 18:40:11,2023-02-11 18:40:22,M77161,Unknown Merchant,KARAGANDA,KZ,5944,MAGNETIC,1308182001: Cash Withdrawal Transaction(International),193498.93,7118.75,PURCHASE,1
T00002937,C000384,2023-02-12 20:01:04,2023-02-12 20:01:39,M65606,Pharmacy 158,TALDYKORGAN,KZ,4816,0000 - Unknown,1308132001: Credit Purchase Transaction(Domestic),50.0,50.0,WITHDRAWAL,1
T00002988,C000482,2023-02-13 12:10:07,2023-02-13 12:10:29,M68971,Unknown Merchant,ANKARA,TR,5944,MAGNETIC,1308212001: Refund Transaction(Domestic),224521.31,452.34,PURCHASE,1
T00003180,C000418,2023-02-16 06:24:59,2023-02-16 06:25:54,M17657,ATM Withdrawal,BARCELONA,ES,6011,ECOMMERCE,1308142001: Credit Purchase Transaction(International),41656.56,40756.62,PURCHASE,1
T00003262,C000233,2023-02-17 07:11:09,2023-02-17 07:11:30,M79938,Unknown Merchant,KUALA LUMPUR,MY,5065,MAGNETIC,1308242001: Transfer Transaction(International),102985.39,48442.04,PURCHASE,1
T00003267,C000148,2023-02-17 08:38:26,2023-02-17 08:39:48,M93959,Supermarket 91,KOSTANAY,KZ,5411,0002 - Mail/Phone order,1308122001: Debit Purchase Transaction(International),177798.76,177798.76,PURCHASE,1
T00003315,C000032,2023-02-18 01:56:13,2023-02-18 01:56:55,M15285,Online store 987,MILAN,IT,5999,0720 - Contactless - VSDC magstripe,1308252001: Bill Payment Transaction(Domestic),164258.58,164258.58,PURCHASE,1
T00003324,C000490,2023-02-18 03:51:13,2023-02-18 03:52:08,M79772,Online store 550,AKTAU,KZ,5999,0720 - Contactless - VSDC magstripe,1308142001: Credit Purchase Transaction(International),172912.94,172912.94,TRANSFER,1
T00003397,C000179,2023-02-19 01:30:06,2023-02-19 01:30:11,M89703,Jewelry 910,KARAGANDA,KZ,5944,0800 - Contactless - Magstripe,1308122001: Debit Purchase Transaction(International),79715.94,46245.5,PURCHASE,1
T00003519,C000040,2023-02-21 02:02:58,2023-02-21 02:04:13,M93254,Unknown Merchant,SHYMKENT,KZ,5065,MAGNETIC,1308142001: Credit Purchase Transaction(International),130933.03,50571.49,PURCHASE,1
T00003523,C000392,2023-02-21 03:01:37,2023-02-21 03:02:16,M44113,Hotel 126,SAMARKAND,UZ,4816,0006 - Cash,1308282001: Other Transaction(International),35.85,35.85,PURCHASE,1
T00003537,C000246,2023-02-21 06:08:46,2023-02-21 06:09:19,M94715,ATM Withdrawal,SHYMKENT,KZ,4816,0001 - E-commerce,1308122001: Debit Purchase Transaction(International),69.9,69.9,WITHDRAWAL,1
T00003657,C000191,2023-02-23 02:21:30,2023-02-23 02:21:48,M88560,Digital Service 756,NEW YORK,US,4816,1000 - Credential on file,1308232001: Transfer Transaction(Domestic),52.22,52.22,REFUND,1
T00003658,C000246,2023-02-23 02:27:32,2023-02-23 02:27:37,M78781,Pharmacy 92,KARAGANDA,KZ,5912,0720 - Contactless - VSDC magstripe,1308122001: Debit Purchase Transaction(International),33797.15,5921.8,PURCHASE,1
T00003694,C000498,2023-02-23 12:24:36,2023-02-23 12:25:28,M78728,Elecrtronics 560,OSH,KG,5065,ECOMMERCE,1308192001: Balance Inquiry Transaction(Domestic),72562.18,72349.62,PURCHASE,1
T00003702,C000280,2023-02-23 18:23:41,2023-02-23 18:25:09,M96350,Digital Service 651,SEMEY,KZ,4816,0000 - Unknown,1308242001: Transfer Transaction(International),150822.8,150822.8,REFUND,1
T00003788,C000202,2023-02-25 03:03:14,2023-02-25 03:05:03,M96267,Digital Service 409,ATYRAU,KZ,4816,0002 - Mail/Phone order,1308112001: Debit Purchase Transaction(Domestic),73.71,73.71,PURCHASE,1
T00003863,C000375,2023-02-26 06:13:32,2023-02-26 06:14:11,M49421,Unknown Merchant,ASTANA,KZ,5944,MAGNETIC,1308162001: Prepaid Purchase Transaction(International),188483.39,1291.52,WITHDRAWAL,1
T00003867,C000244,2023-02-26 06:33:07,2023-02-26 06:33:41,M67144,Transport 525,MEXICO CITY,MX,4816,0730 - Contactless - VSDC chip,1308152001: Prepaid Purchase Transaction(Domestic),55.44,55.44,PURCHASE,1
T00003948,C000296,2023-02-27 11:36:36,2023-02-27 11:36:47,M21470,Online store 156,TARAZ,KZ,5999,0004 - Installment,1308162001: Prepaid Purchase Transaction(International),168560.94,168560.94,PURCHASE,1
T00003993,C000128,2023-02-28 02:10:00,2023-02-28 02:10:01,M77027,Jewelry 994,MILAN,IT,5944,1000 - Credential on file,1308242001: Transfer Transaction(International),74199.83,74199.83,PURCHASE,1
T00004078,C000208,2023-03-01 03:34:25,2023-03-01 03:36:06,M41055,Online store 44,ALMATY,KZ,5999,0007 - Other,1308232001: Transfer Transaction(Domestic),85538.32,85538.32,PURCHASE,1
T00004134,C000212,2023-03-02 02:38:34,2023-03-02 02:40:26,M87036,Unknown Merchant,TALDYKORGAN,KZ,5944,MAGNETIC,1308182001: Cash Withdrawal Transaction(International),155568.99,64564.76,PURCHASE,1
T00004267,C000055,2023-03-03 23:01:17,2023-03-03 23:02:17,M57187,Unknown Merchant,ALMATY,KZ,5944,MAGNETIC,1308222001: Refund Transaction(International),239446.21,98.39,PURCHASE,1
T00004268,C000228,2023-03-03 23:44:45,2023-03-03 23:45:56,M68026,ATM Withdrawal,OSH,KG,6011,0710 - Contactless - VSDC chip,1308142001: Credit Purchase Transaction(International),481473.82,481473.82,PURCHASE,1
T00004453,C000384,2023-03-07 05:02:19,2023-03-07 05:03:16,M42680,Hotel 742,EDINBURGH,GB,7011,0120 - Keyin,1308132001: Credit Purchase Transaction(Domestic),38214.76,38214.76,PURCHASE,1
T00004486,C000419,2023-03-07 18:08:02,2023-03-07 18:08:43,M80781,ATM Withdrawal,TALDYKORGAN,KZ,6011,0006 - Cash,1308262001: Bill Payment Transaction(International),101785.91,101785.91,PURCHASE,1
T00004548,C000249,2023-03-08 14:43:48,2023-03-08 14:45:27,M94918,Supermarket 289,SINGAPORE,SGP,5411,ECOMMERCE,1308212001: Refund Transaction(Domestic),4008.31,4003.08,PURCHASE,1
T00004583,C000197,2023-03-09 08:07:38,2023-03-09 08:09:30,M46367,Pharmacy 407,MILAN,IT,5912,ECOMMERCE,1308112001: Debit Purchase Transaction(Domestic),100.0,98.41,PURCHASE,1
T00004591,C000209,2023-03-09 09:53:33,2023-03-09 09:55:24,M79481,Unknown Merchant,ALMATY,KZ,5944,MAGNETIC,1308272001: Other Transaction(Domestic),165223.35,98.49,TRANSFER,1
T00004592,C000434,2023-03-09 10:24:18,2023-03-09 10:25:14,M34437,Transport 262,TARAZ,KZ,4816,0002 - Mail/Phone order,1308112001: Debit Purchase Transaction(Domestic),14.31,14.31,PURCHASE,1
T00004616,C000277,2023-03-09 20:48:17,2023-03-09 20:48:32,M45473,Cafe and restaraunts 295,ASTANA,KZ,4816,0510 - Contactless - Magstripe,1308132001: Credit Purchase Transaction(Domestic),29.95,29.95,REFUND,1
T00004695,C000027,2023-03-10 21:12:36,2023-03-10 21:13:53,M59936,Unknown Merchant,TARAZ,KZ,5944,MAGNETIC,1308272001: Other Transaction(Domestic),245787.18,5882.64,PURCHASE,1
T00004708,C000007,2023-03-11 02:07:23,2023-03-11 02:07:28,M67944,Elecrtronics 11,ALMATY,KZ,5065,0002 - Mail/Phone order,1308192001: Balance Inquiry Transaction(Domestic),83228.75,22983.91,REFUND,1
T00004770,C000414,2023-03-11 21:03:13,2023-03-11 21:04:08,M44922,Digital Service 77,BANGALORE,IN,4816,ECOMMERCE,1308182001: Cash Withdrawal Transaction(International),100.0,98.65,PURCHASE,1
T00004859,C000279,2023-03-13 04:49:45,2023-03-13 04:49:50,M94966,Transport 515,BISHKEK,KG,4111,0005 - Preauthorized,1308162001: Prepaid Purchase Transaction(International),191435.48,1262.9,WITHDRAWAL,1
T00004886,C000010,2023-03-13 14:01:22,2023-03-13 14:01:56,M45378,Hotel 575,ALMATY,KZ,7011,0006 - Cash,1308262001: Bill Payment Transaction(International),102802.4,102802.4,PURCHASE,1
T00004887,C000126,2023-03-13 14:16:57,2023-03-13 14:18:01,M90496,Jewelry 17,TALDYKORGAN,KZ,5944,0005 - Preauthorized,1308232001: Transfer Transaction(Domestic),190044.24,190044.24,PURCHASE,1
T00004912,C000032,2023-03-14 00:22:48,2023-03-14 00:23:10,M20764,Jewelry 234,ATYRAU,KZ,5944,0006 - Cash,1308252001: Bill Payment Transaction(Domestic),158052.14,158052.14,PURCHASE,1
T00005003,C000082,2023-03-15 09:21:08,2023-03-15 09:21:21,M70567,Cafe and restaraunts 552,ALMATY,KZ,5812,0000 - Unknown,1308112001: Debit Purchase Transaction(Domestic),37269.92,37269.92,PURCHASE,1
T00005009,C000368,2023-03-15 11:29:05,2023-03-15 11:29:22,M86471,Unknown Merchant,TALDYKORGAN,KZ,5944,MAGNETIC,1308272001: Other Transaction(Domestic),160925.31,1859.74,PURCHASE,1
T00005110,C000409,2023-03-17 03:06:02,2023-03-17 03:07:12,M66918,Online store 539,SHYMKENT,KZ,4816,0800 - Contactless - Magstripe,1308272001: Other Transaction(Domestic),20.25,20.25,PURCHASE,1
T00005161,C000315,2023-03-17 20:07:57,2023-03-17 20:08:35,M57665,Transport 317,BUSAN,KR,4111,ECOMMERCE,1308172001: Cash Withdrawal Transaction(Domestic),1494.17,1461.93,PURCHASE,1
T00005163,C000403,2023-03-17 20:59:28,2023-03-17 21:01:16,M39835,Supermarket 818,DUBAI,AE,5411,ECOMMERCE,1308172001: Cash Withdrawal Transaction(Domestic),4306.36,4226.29,PURCHASE,1
T00005178,C000297,2023-03-18 02:41:36,2023-03-18 02:41:41,M82282,Hotel 752,KARAGANDA,KZ,7011,0002 - Mail/Phone order,1308152001: Prepaid Purchase Transaction(Domestic),31655.88,98.52,WITHDRAWAL,1
T00005263,C000164,2023-03-19 06:09:41,2023-03-19 06:10:02,M86682,Supermarket 284,ATYRAU,KZ,5411,0007 - Other,1308262001: Bill Payment Transaction(International),94520.39,94520.39,PURCHASE,1
T00005367,C000275,2023-03-20 17:18:46,2023-03-20 17:20:39,M86398,Pharmacy 70,AKTAU,KZ,4816,0007 - Other,1308152001: Prepaid Purchase Transaction(Domestic),15.45,15.45,PURCHASE,1
T00005384,C000163,2023-03-21 00:10:51,2023-03-21 00:11:36,M90886,Cafe and restaraunts 716,SEMEY,KZ,5812,0800 - Contactless - Magstripe,1308272001: Other Transaction(Domestic),615536.69,615536.69,TRANSFER,1
T00005518,C000134,2023-03-23 01:27:27,2023-03-23 01:27:38,M19377,Online store 354,KYOTO,JP,4816,0800 - Contactless - Magstripe,1308282001: Other Transaction(International),39.85,39.85,PURCHASE,1
T00005634,C000363,2023-03-24 18:29:57,2023-03-24 18:30:22,M32346,ATM Withdrawal,SEMEY,KZ,6011,0006 - Cash,1308162001: Prepaid Purchase Transaction(International),266285.61,266285.61,PURCHASE,1
T00005644,C000280,2023-03-24 20:28:21,2023-03-24 20:29:07,M86207,Supermarket 581,AKTAU,KZ,4816,0510 - Contactless - Magstripe,1308242001: Transfer Transaction(International),66.73,66.73,PURCHASE,1
T00005726,C000049,2023-03-26 01:33:45,2023-03-26 01:34:35,M28364,Digital Service 348,ASTANA,KZ,4816,0000 - Unknown,1308242001: Transfer Transaction(International),12.89,12.89,PURCHASE,1
T00005739,C000011,2023-03-26 04:13:45,2023-03-26 04:13:50,M85460,Digital Service 95,ZURICH,CH,4816,0001 - E-commerce,1308202001: Balance Inquiry Transaction(International),67081.47,1865.42,PURCHASE,1
T00005748,C000290,2023-03-26 06:50:48,2023-03-26 06:51:17,M84230,Digital Service 18,PAVLODAR,KZ,4816,0002 - Mail/Phone order,1308282001: Other Transaction(International),74169.31,74169.31,PURCHASE,1
